Species Tree Node	Duplications (all)	Duplications (50% support)
N0	7650	2074
N5	1080	71
Cochlearia_excelsa	23981	23981
N1	12358	865
Arabidopsis_arenosa	2994	2994
Rorippa_islandica	3448	3448
Noccaea_praecox	4416	4416
Alyssum_gmelinii	7176	7176
Euclidium_syriacum	5543	5543
Conringia_planisiliqua	8536	8536
Cardamine_glauca	1805	1805
N8	381	148
Brassica_oleracea	4346	4346
N16	9290	7967
Raphanus_sativus	11297	11297
Cardamine_hirsuta	2206	2206
Camelina_sativa	47549	47549
Arabidopsis_lyrata_NCBI	1221	1221
N3	1301	174
Arabidopsis_lyrata_Rawat	1794	1794
Brassica_rapa	3220	3220
N7	1323	482
N12	426	137
Eutrema_salsugineum	3273	3273
N17	2314	2314
N2	1414	30
Capsella_rubella	1459	1459
N14	617	464
Arabis_alpina	6850	6850
N13	1054	724
N15	789	789
N10	363	363
N6	525	359
N9	74	74
Arabidopsis_thaliana	955	955
N11	613	445
N4	43	43
